Model,Performance
AMD Ryzen 5 7645HX,26868
Intel Xeon W-3245M @ 3.20GHz,26814
AMD Ryzen 7 PRO 7840HS,26787
AMD Ryzen 7 PRO 8840HS,26685
Intel Core i9-12900E,26666
AMD Ryzen 7 5700X,26662
Intel Xeon Platinum 8175M @ 2.50GHz,26659
Intel Core i5-13600HE,26540
Intel Core i5-14600T,26438
Intel Xeon w3-2435,26425
AMD Ryzen 7 5700X3D,26374
Intel Xeon D-2796TE @ 2.00GHz,26342
Intel Xeon Gold 6226R @ 2.90GHz,26297
Intel Core Ultra 7 165H,26292
Intel Xeon Gold 6242 @ 2.80GHz,26288
Intel Xeon E-2468,26221
Intel Core i9-10920X @ 3.50GHz,26188
Intel Core i7-12700H,26119
AMD Ryzen 5 7600X3D,26049
Intel Xeon W-2265 @ 3.50GHz,25987
Intel Core i9-7940X @ 3.10GHz,25963
AMD Ryzen 7 PRO 5845,25961
AMD EPYC 7551,25960
Intel Xeon E5-2699A v4 @ 2.40GHz,25957
Intel Xeon W-3323 @ 3.50GHz,25875
AMD Ryzen Threadripper 2990X,25874
AMD EPYC 7451,25863
Intel Core i5-14400F,25781
AMD Ryzen 7 5800,25746
Intel Xeon Gold 6152 @ 2.10GHz,25693
AMD EPYC 7351P,25657
Intel Xeon E5-2698R v4 @ 2.20GHz,25605
Intel Xeon Gold 5515+,25587
Intel Xeon W-3235 @ 3.30GHz,25578
Intel Core i5-14400,25566
Intel Core i5-14450HX,25565
Intel Core i5-13450HX,25551
Intel Xeon Platinum 8167M @ 2.00GHz,25396
AMD Ryzen Threadripper 2920X,25352
AMD Ryzen 5 8600G,25348
AMD Ryzen 5 PRO 8600G,25288
Intel Xeon W-1390P @ 3.50GHz,25240
Intel Xeon Gold 6142 @ 2.60GHz,25215
Intel Core i9-11900K @ 3.50GHz,25204
Intel Core i5-13400F,25165
Intel Core i9-9920X @ 3.50GHz,25163
AMD EPYC 7272,25161
Intel Core Ultra 7 155H,25158
AMD Ryzen Z1 Extreme,25142
AMD Ryzen 7 7840U,25004
Intel Core i9-11900KF @ 3.50GHz,24990
Intel Xeon Gold 5415+,24951
AMD EPYC 7501,24925
Intel Xeon E5-2699 v4 @ 2.20GHz,24916
Intel Xeon E5-2696 v4 @ 2.20GHz,24862
Intel Core i7-13620H,24840
Intel Xeon Gold 6434,24836
Intel Xeon Gold 6246 @ 3.30GHz,24829
Intel Core i7-12800H,24805
Intel Xeon Gold 6143 @ 2.80GHz,24786
Intel Xeon Gold 6222V @ 1.80GHz,24764
AMD Ryzen 9 6900HX,24756
AMD Ryzen 7 PRO 7840U,24744
Intel Xeon Gold 5218R @ 2.10GHz,24742
Intel Xeon E E-2486,24713
