Model,Performance
Intel Core i5-10200H @ 2.40GHz,8091
Intel Xeon E3-1285L v4 @ 3.40GHz,8088
Intel Xeon E3-1585L v5 @ 3.00GHz,8083
Intel Core i7-6700 @ 3.40GHz,8075
Intel Core i7-4790K @ 4.00GHz,8066
Intel Core i7-1185GRE @ 2.80GHz,8046
Intel Xeon E3-1245 v5 @ 3.50GHz,8027
Intel Xeon D-1559 @ 1.50GHz,8015
Intel Core i3-10105T @ 3.00GHz,8008
AMD Ryzen 5 2600H,8002
Intel Xeon D-2712T @ 1.90GHz,7990
Intel Core i3-10300T @ 3.00GHz,7975
Intel Xeon E3-1535M v6 @ 3.10GHz,7965
Intel Xeon E3-1230 v5 @ 3.40GHz,7947
Intel Core i7-8709G @ 3.10GHz,7947
Intel Xeon E3-1515M v5 @ 2.80GHz,7938
Intel Core i5-9400H @ 2.50GHz,7913
Intel Core i7-9850HL @ 1.90GHz,7897
Intel Core i5-8259U @ 2.30GHz,7878
Intel Core i7-995X @ 3.60GHz,7862
Intel Core i5-1035G4 @ 1.10GHz,7858
Intel Xeon E3-1575M v5 @ 3.00GHz,7857
AMD Opteron 6348,7850
Intel Xeon E3-1545M v5 @ 2.90GHz,7820
Intel Xeon E5-2620 v3 @ 2.40GHz,7811
Intel Xeon E3-1285 v4 @ 3.50GHz,7808
Intel Core i7-5950HQ @ 2.90GHz,7807
AMD Ryzen Embedded V1807F,7775
AMD Ryzen 5 3550H,7765
AMD Ryzen 5 1400,7755
Intel Core i5-8500T @ 2.10GHz,7736
Intel Xeon D-1813NT @ 2.20GHz,7732
AMD Athlon Gold PRO 3150G,7702
Intel Core i3-9350K @ 4.00GHz,7700
Intel Core i7-8705G @ 3.10GHz,7695
Intel Core i7-5775C @ 3.30GHz,7694
AMD Ryzen 5 PRO 2400GE,7682
AMD Ryzen 5 3550U,7681
Intel Xeon E3-1270L v4 @ 3.00GHz,7662
Intel Xeon E-2224G @ 3.50GHz,7641
Intel Core i5-8400H @ 2.50GHz,7636
Intel Xeon E5-1630 v4 @ 3.70GHz,7601
Intel Xeon D-1531 @ 2.20GHz,7592
Intel Xeon E5-2640 v2 @ 2.00GHz,7590
Intel Core i7-7700T @ 2.90GHz,7589
Intel Xeon E5-2650L v2 @ 1.70GHz,7586
AMD Ryzen 3 2300X,7574
Intel Core i5-9300H @ 2.40GHz,7568
Intel Core i3-9350KF @ 4.00GHz,7549
Intel Core i7-7820EQ @ 3.00GHz,7542
Intel Xeon E5-2450 @ 2.10GHz,7534
Intel Xeon E3-1271 v3 @ 3.60GHz,7530
Intel Core i7-5775R @ 3.30GHz,7510
Intel Xeon E3-1276 v3 @ 3.60GHz,7508
Intel Xeon E3-1535M v5 @ 2.90GHz,7504
Intel Xeon E5-2667 @ 2.90GHz,7502
Intel Core i5-8279U @ 2.40GHz,7491
Intel Xeon E5-2637 v4 @ 3.50GHz,7490
Intel Xeon E3-1281 v3 @ 3.70GHz,7483
AMD Ryzen 7 PRO 3700U,7479
AMD Ryzen 5 2400GE,7476
Intel Xeon E5-2630 v2 @ 2.60GHz,7476
Intel Xeon E3-1505M v6 @ 3.00GHz,7474
Intel Core i5-8257U @ 1.40GHz,7466
Intel Core i5-8300H @ 2.30GHz,7456
Intel Core i5-8400T @ 1.70GHz,7451
Intel Xeon E5-2608L v4 @ 1.60GHz,7447
Intel Xeon D-1537 @ 1.70GHz,7444
AMD Ryzen 3 4300U,7440
Intel Xeon E5-2440 v2 @ 1.90GHz,7434
Intel Core i5-8260U @ 1.60GHz,7430
Intel Xeon E3-1286 v3 @ 3.70GHz,7418
Intel Xeon E5-1630 v3 @ 3.70GHz,7398
Intel Xeon E3-1280 v3 @ 3.60GHz,7389
Intel Xeon E5-1620 v4 @ 3.50GHz,7386
Intel Atom P5322,7378
Intel Xeon E5-2650 @ 2.00GHz,7370
Intel Core i7-7920HQ @ 3.10GHz,7368
Intel Core i7-7820HK @ 2.90GHz,7368
Intel Xeon @ 2.00GHz,7363
Intel Core i3-9320 @ 3.70GHz,7358
Intel Core i5-1035G1 @ 1.00GHz,7357
Intel Core i7-8557U @ 1.70GHz,7342
Intel Core i7-6920HQ @ 2.90GHz,7340
Intel Core i7-8706G @ 3.10GHz,7339
Intel Xeon E-2124G @ 3.40GHz,7330
Intel Core i5-9300HF @ 2.40GHz,7327
AMD Ryzen 3 3200GE,7309
Intel Xeon Phi 7210 @ 1.30GHz,7306
Intel Xeon E3-1246 v3 @ 3.50GHz,7283
AMD Opteron 6281,7279
Intel Core i3-10100T @ 3.00GHz,7272
Intel Xeon E3-1270 v3 @ 3.50GHz,7269
Intel Core i7-4790 @ 3.60GHz,7268
Intel Xeon E-2224 @ 3.40GHz,7263
Intel Xeon E5-2637 v3 @ 3.50GHz,7246
AMD Ryzen 5 Microsoft Surface Edition,7243
AMD Ryzen 5 3580U,7236
AMD Ryzen 3 PRO 1300,7234
Intel Xeon E5-4610 v3 @ 1.70GHz,7229
Intel Xeon W3690 @ 3.47GHz,7228
Intel Xeon E3-1275 v3 @ 3.50GHz,7220
Intel Core i7-6700T @ 2.80GHz,7194
Intel Xeon E5-2628L v2 @ 1.90GHz,7181
Intel Xeon D-1539 @ 1.60GHz,7175
Intel Core i7-7820HQ @ 2.90GHz,7162
Intel 300,7160
Intel Core i7-990X @ 3.47GHz,7157
Intel Xeon E3-1241 v3 @ 3.50GHz,7147
AMD Ryzen 7 3700U,7144
Intel Core i3-9300 @ 3.70GHz,7137
AMD Ryzen 7 PRO 2700U,7132
Intel Core i7-4771 @ 3.50GHz,7130
AMD Ryzen 3 3200G,7129
Intel Core i7-4770K @ 3.50GHz,7129
Intel Core i5-8269U @ 2.60GHz,7111
Intel Xeon X5679 @ 3.20GHz,7095
Intel Core i7-6770HQ @ 2.60GHz,7092
Intel Core i7-6820HK @ 2.70GHz,7063
Intel Core i7-4770 @ 3.40GHz,7062
Intel Xeon E3-1231 v3 @ 3.40GHz,7050
Intel Xeon E5-2430 v2 @ 2.50GHz,7039
Intel Xeon E3-1240 v3 @ 3.40GHz,7038
Intel Xeon E5-4620 @ 2.20GHz,7037
Intel Core i7-5850EQ @ 2.70GHz,7036
Intel Core i5-7640X @ 4.00GHz,7036
Intel Xeon X5690 @ 3.47GHz,7034
AMD Ryzen 5 PRO 3500U,7030
Intel Core i7-4790S @ 3.20GHz,7022
Intel Xeon E3-1245 v3 @ 3.40GHz,7019
Intel Xeon E5-4640 @ 2.40GHz,7012
AMD Athlon Gold PRO 3150GE,7006
Intel Xeon W3680 @ 3.33GHz,7003
Intel Core i7-6820EQ @ 2.80GHz,7001
AMD Ryzen Embedded R2514,6998
Intel Xeon E5-1620 v3 @ 3.50GHz,6993
Intel Xeon E5-4607 v2 @ 2.60GHz,6986
AMD Ryzen 3 PRO 3200G,6980
Intel Xeon E3-1505M v5 @ 2.80GHz,6977
Intel Xeon E3-1285 v3 @ 3.60GHz,6974
AMD Ryzen 3 1300X,6966
AMD Ryzen 7 3780U,6961
Intel Xeon E3-1265L v4 @ 2.30GHz,6954
Intel Core i5-8305G @ 2.80GHz,6951
AMD Ryzen 5 3500U,6940
Intel Xeon E5-2623 v4 @ 2.60GHz,6940
Intel Core i7-980 @ 3.33GHz,6936
Intel Xeon E-2124 @ 3.30GHz,6932
Intel Xeon E3-1286L v3 @ 3.20GHz,6929
AMD Opteron 6287 SE,6925
Intel Core i7-7700HQ @ 2.80GHz,6909
AMD Athlon Gold 3150G,6908
Intel Core i3-8350K @ 4.00GHz,6872
Intel Core i3-9100E @ 3.10GHz,6868
Intel Core i7-5850HQ @ 2.70GHz,6866
Intel Xeon X5680 @ 3.33GHz,6842
Intel Core i7-4940MX @ 3.10GHz,6830
Intel Xeon D-1528 @ 1.90GHz,6823
Intel Core i7-980X @ 3.33GHz,6820
Intel Xeon E3-1230 v3 @ 3.30GHz,6818
Intel Core i7-6820HQ @ 2.70GHz,6816
Intel Xeon E3-1285L v3 @ 3.10GHz,6803
Intel Core i5-7600K @ 3.80GHz,6800
AMD Ryzen 7 2700U,6797
Intel Xeon E5-2623 v3 @ 3.00GHz,6793
AMD FX-9590 Eight-Core,6787
AMD Ryzen 3 PRO 2200G,6781
Intel Xeon E5-2448L v2 @ 1.80GHz,6774
AMD Ryzen 3 2200G,6754
Intel Core i7-4770S @ 3.10GHz,6748
AMD Ryzen 5 3450U,6742
AMD Ryzen 3 PRO 3200GE,6738
Intel Pentium Gold G7400,6737
Intel Core i3-9100F @ 3.60GHz,6734
Intel Xeon E5-2630L v2 @ 2.40GHz,6703
AMD Opteron 6380,6687
Intel Core i7-10610U @ 1.80GHz,6683
AMD Ryzen Embedded V1605B,6677
AMD Ryzen 5 PRO 2500U,6669
Intel Xeon D-2123IT @ 2.20GHz,6660
Intel Core i3-9100 @ 3.60GHz,6626
Intel Xeon E3-1275 V2 @ 3.50GHz,6623
Intel Core i7-4770R @ 3.20GHz,6620
Intel Core i3-1025G1 @ 1.20GHz,6604
Intel Core i7-10510U @ 1.80GHz,6577
Intel Xeon E3-1280 V2 @ 3.60GHz,6563
Intel Xeon E5-1620 v2 @ 3.70GHz,6553
Intel Core i7-970 @ 3.20GHz,6546
AMD Ryzen 5 2500U,6538
Intel Core i5-7600 @ 3.50GHz,6538
Intel Core i7-4980HQ @ 2.80GHz,6522
Intel Core i7-6700HQ @ 2.60GHz,6519
Intel Xeon E3-1240L v5 @ 2.10GHz,6511
Intel Xeon E3-1270 V2 @ 3.50GHz,6476
Intel Core i7-4820K @ 3.70GHz,6475
Intel Core i7-3770K @ 3.50GHz,6467
Intel Xeon E5-4610 @ 2.40GHz,6460
Intel Xeon E5-2637 v2 @ 3.50GHz,6457
Intel Core i5-10310U @ 1.70GHz,6451
Intel Xeon W3670 @ 3.20GHz,6449
Intel Xeon Silver 4112 @ 2.60GHz,6446
Intel Core i7-1060NG7 @ 1.20GHz,6435
Intel Xeon E5-2608L v3 @ 2.00GHz,6415
Intel Core i7-3770 @ 3.40GHz,6411
AMD Ryzen 3 PRO 2200GE,6404
Intel Xeon X5675 @ 3.07GHz,6396
AMD Opteron 6282 SE,6385
Intel Xeon E3-1240 V2 @ 3.40GHz,6361
Intel Xeon E5-2420 v2 @ 2.20GHz,6356
Intel Xeon E-2276ML @ 2.00GHz,6353
AMD Opteron 6276,6348
Intel Core i7-4930MX @ 3.00GHz,6348
AMD Ryzen 7 3700C,6346
Intel Core i7-4790T @ 2.70GHz,6346
Intel Core i7-4960HQ @ 2.60GHz,6339
Intel Xeon E3-1268L v5 @ 2.40GHz,6334
Intel Xeon E-2254ML @ 1.70GHz,6333
Intel Core i5-6600K @ 3.50GHz,6321
Intel Xeon E3-1290 V2 @ 3.70GHz,6315
Intel Xeon E3-1245 V2 @ 3.40GHz,6306
Intel Core i3-8300 @ 3.70GHz,6305
Intel Core i7-4870HQ @ 2.50GHz,6304
Intel Core i7-4760HQ @ 2.10GHz,6300
Intel Xeon E5-4617 @ 2.90GHz,6298
Intel Xeon E5-2640 @ 2.50GHz,6294
Intel Xeon E3-1275L v3 @ 2.70GHz,6290
AMD Ryzen 3 1200,6281
AMD FX-9370 Eight-Core,6273
Intel Core i7-4910MQ @ 2.90GHz,6256
Intel Core i7-8650U @ 1.90GHz,6256
Intel Xeon E5-1428L v2 @ 2.20GHz,6255
Intel Core i7-8665U @ 1.90GHz,6252
Intel Xeon E5-2620 v2 @ 2.10GHz,6246
Intel Core i7-4860HQ @ 2.40GHz,6242
Intel Core i3-10100TE @ 2.30GHz,6237
AMD Ryzen Embedded R2314,6222
Intel Xeon E3-1265L v3 @ 2.50GHz,6215
Intel Core i5-8350U @ 1.70GHz,6208
Intel Xeon D-1622 @ 2.60GHz,6205
Intel Core i5-10210U @ 1.60GHz,6203
Intel Xeon E3-1230 V2 @ 3.30GHz,6199
Intel Xeon E5-2650L @ 1.80GHz,6192
Intel Xeon E5-2430L v2 @ 2.40GHz,6190
Intel Core i7-8565UC @ 1.80GHz,6187
Intel Xeon E5-2630 @ 2.30GHz,6183
Intel Core i7-3770S @ 3.10GHz,6182
AMD FX-8370 Eight-Core,6166
Intel Core i3-1215UL,6161
AMD Ryzen 3 PRO 1200,6143
Intel Core i7-4850HQ @ 2.30GHz,6136
Intel Core i7-6700TE @ 2.40GHz,6135
Intel Core i7-4900MQ @ 2.80GHz,6119
Intel Core i3-9300T @ 3.20GHz,6108
Intel Xeon X5670 @ 2.93GHz,6105
Intel Core i5-8365U @ 1.60GHz,6103
Intel Core i3-8100 @ 3.60GHz,6099
Intel Xeon E5-2440 @ 2.40GHz,6091
Intel Core i7-5675C @ 3.10GHz,6089
Intel Xeon E3-1505L v6 @ 2.20GHz,6088
Intel Xeon E5-2658 @ 2.10GHz,6073
Intel Core i7-4810MQ @ 2.80GHz,6071
AMD Opteron 6344,6069
AMD FX-8350 Eight-Core,6066
Intel Core i7-4770HQ @ 2.20GHz,6062
Intel Core i7-8565U @ 1.80GHz,6060
Intel Core i5-6600 @ 3.30GHz,6055
AMD EPYC 3101 4-Core,6050
Intel Core i3-1115G4 @ 3.00GHz,6046
Intel Core i7-5700HQ @ 2.70GHz,6044
Intel Core i5-7500 @ 3.40GHz,6034
Intel Xeon X5660 @ 2.80GHz,6015
AMD Ryzen Embedded V1404I,6007
Intel Core i3-8100B @ 3.60GHz,5997
Intel Xeon E3-1225 v5 @ 3.30GHz,5974
Intel Core i7-4770T @ 2.50GHz,5973
AMD Ryzen 3 2200GE,5963
AMD Ryzen 3 PRO 3300U,5947
Intel Core i5-8265U @ 1.60GHz,5941
Intel Xeon E-2104G @ 3.20GHz,5913
Intel Core i7-3840QM @ 2.80GHz,5911
Intel Core i5-7600T @ 2.80GHz,5905
Intel Core i7-8550U @ 1.80GHz,5896
AMD Opteron 6378,5889
Intel Xeon E5-2450L @ 1.80GHz,5880
Intel Core i5-8250U @ 1.60GHz,5865
Intel Xeon E5-1620 @ 3.60GHz,5861
Intel Core i7-3940XM @ 3.00GHz,5840
Intel Core i7-4710MQ @ 2.50GHz,5831
Intel Xeon E3-1220 v5 @ 3.00GHz,5828
AMD Ryzen 3 3350U,5813
Intel Core i7-5700EQ @ 2.60GHz,5803
AMD Opteron 4274 HE,5776
Intel Xeon E3-1268L v3 @ 2.30GHz,5770
Intel Core i7-3820 @ 3.60GHz,5768
Intel Xeon E3-1225 v6 @ 3.30GHz,5765
Intel N97,5757
Intel Xeon Bronze 3106 @ 1.70GHz,5753
Intel Core i3-8300T @ 3.20GHz,5749
Intel Core i7-2700K @ 3.50GHz,5746
Intel Core i7-4720HQ @ 2.60GHz,5746
AMD Ryzen 3 PRO 2300U,5742
Intel Pentium Gold G7400T,5737
Intel Core i7-4800MQ @ 2.70GHz,5736
Intel Xeon X5650 @ 2.67GHz,5715
Intel Xeon E5-1410 v2 @ 2.80GHz,5715
Intel Core i5-7440EQ @ 2.90GHz,5711
Intel Core i5-8365UE @ 1.60GHz,5711
Intel Core i7-3920XM @ 2.90GHz,5710
Intel Core i5-1030NG7 @ 1.10GHz,5695
Intel Core i7-3740QM @ 2.70GHz,5692
Intel Core i7-4750HQ @ 2.00GHz,5692
Intel Core i5-4690K @ 3.50GHz,5691
Intel Xeon D-1521 @ 2.40GHz,5690
Intel Xeon E5649 @ 2.53GHz,5686
Intel Xeon E3-1205 v6 @ 3.00GHz,5682
AMD Ryzen 5 3500C,5682
AMD Ryzen 3 3300U,5679
Intel Core i7-3720QM @ 2.60GHz,5671
Intel Xeon Platinum 8151 @ 3.40GHz,5669
Intel Xeon E3-1240L v3 @ 2.00GHz,5655
AMD Opteron 6274,5643
Intel Core i7-3820QM @ 2.70GHz,5637
Intel Core i7-4700HQ @ 2.40GHz,5632
Intel Core i5-6500 @ 3.20GHz,5626
AMD Opteron 6238,5625
Intel Xeon E3-1280 @ 3.50GHz,5623
Intel Core i7-4722HQ @ 2.40GHz,5620
AMD Opteron 6366 HE,5613
Intel Core i5-5675C @ 3.10GHz,5606
Intel Core i7-3615QE @ 2.30GHz,5601
Intel Core i5-6600T @ 2.70GHz,5600
Intel Core i5-4670K @ 3.40GHz,5573
AMD Opteron 6376,5572
Intel Core i5-5675R @ 3.10GHz,5572
Intel Core i5-4690 @ 3.50GHz,5570
AMD Ryzen 3 2300U,5548
Intel Xeon E3-1226 v3 @ 3.30GHz,5543
Intel Xeon E5-2430L @ 2.00GHz,5539
Intel Core i7-4785T @ 2.20GHz,5529
Intel Core i5-4690S @ 3.20GHz,5527
Intel Core i7-4710HQ @ 2.50GHz,5527
Intel Xeon E3-1275 @ 3.40GHz,5516
Intel Atom x7425E,5502
Intel Core i7-4860EQ @ 1.80GHz,5500
Intel Core i5-4670 @ 3.40GHz,5497
Intel Xeon W-2104 @ 3.20GHz,5495
Intel Xeon E3-1220 v6 @ 3.00GHz,5494
Intel Xeon E5-2430 @ 2.20GHz,5492
Intel Core i7-2600K @ 3.40GHz,5491
Intel N100,5489
Intel Core i5-7440HQ @ 2.80GHz,5486
Intel Core i3-1115G4E @ 3.00GHz,5483
Intel Core i5-7400 @ 3.00GHz,5473
Intel Core i3-9100T @ 3.10GHz,5472
Intel Core i7-3770T @ 2.50GHz,5444
AMD FX-8320 Eight-Core,5443
Intel Xeon E5-2609 v4 @ 1.70GHz,5443
Intel Core i5-760S @ 2.53GHz,5440
Intel Xeon E3-1290 @ 3.60GHz,5429
Intel Core i7-4700EQ @ 2.40GHz,5417
AMD Ryzen Embedded V1500B Quad-core @ 2.20GHz,5417
Intel Xeon E3-1240 @ 3.30GHz,5403
Intel Xeon E5-2418L v2 @ 2.00GHz,5380
Intel Core i5-4590 @ 3.30GHz,5369
Intel Core i5-6402P @ 2.80GHz,5369
Intel N95,5369
Intel Pentium Silver N6005 @ 2.00GHz,5367
Intel Core i7-4712HQ @ 2.30GHz,5358
Intel Core i7-4700MQ @ 2.40GHz,5356
Intel Core i7-4702HQ @ 2.20GHz,5351
Intel Xeon E3-1270 @ 3.40GHz,5350
Intel Core i7-2600 @ 3.40GHz,5345
Intel Xeon E5-2643 @ 3.30GHz,5339
AMD FX-8300 Eight-Core,5338
Intel Xeon E3-1245 @ 3.30GHz,5334
Intel Core i7-4712MQ @ 2.30GHz,5325
Intel Core i5-6440EQ @ 2.70GHz,5324
Intel Xeon X5687 @ 3.60GHz,5309
AMD Opteron 6328,5306
AMD FX-8370E Eight-Core,5306
Intel Xeon E5-2630L @ 2.00GHz,5305
Intel Xeon E3-1225 v3 @ 3.20GHz,5300
Intel Xeon E5-2620 @ 2.00GHz,5293
Intel Core i3-8100T @ 3.10GHz,5268
Intel Xeon E5-2648L @ 1.80GHz,5262
AMD FX-8150 Eight-Core,5261
Intel Xeon E3-1230L v3 @ 1.80GHz,5251
Intel Core i7-6822EQ @ 2.00GHz,5241
AMD Opteron 6272,5240
Intel Core i5-4670R @ 3.00GHz,5233
Intel Core i5-4570 @ 3.20GHz,5229
Intel Xeon D-1527 @ 2.20GHz,5213
Intel Core i5-7500T @ 2.70GHz,5207
Intel Pentium Gold 7505 @ 2.00GHz,5199
Intel Xeon E5-1607 v4 @ 3.10GHz,5199
Intel Core i7-3615QM @ 2.30GHz,5198
Intel Core i7-4702MQ @ 2.20GHz,5193
Intel Xeon E3-1220 v3 @ 3.10GHz,5187
Intel Core i7-8665UE @ 1.70GHz,5170
Intel Core i5-8265UC @ 1.60GHz,5169
Intel Core i5-6400 @ 2.70GHz,5163
Intel Core i5-4670S @ 3.10GHz,5160
Intel Xeon E3-1265L V2 @ 2.50GHz,5148
Intel Core i5-4590S @ 3.00GHz,5144
Intel Xeon E3-1230 @ 3.20GHz,5137
Intel Core i7-4765T @ 2.00GHz,5127
Intel Core i7-3610QM @ 2.30GHz,5119
Intel Atom C3758R @ 2.40GHz,5116
Intel Core i7-3630QM @ 2.40GHz,5114
Intel Core i5-6440HQ @ 2.60GHz,5106
AMD FX-8320E Eight-Core,5095
Intel N200,5091
Intel Core i5-7300HQ @ 2.50GHz,5088
Intel Core i5-5575R @ 2.80GHz,5085
Intel Xeon E3-1505L v5 @ 2.00GHz,5083
Intel Xeon W-2102 @ 2.90GHz,5073
Intel Xeon E3-1235 @ 3.20GHz,5068
Intel Xeon E5645 @ 2.40GHz,5048
AMD FX-8310 Eight-Core,5045
Intel Xeon X5677 @ 3.47GHz,5043
Intel Core i5-4670K CPT @ 3.40GHz,5034
Intel Xeon E5-2420 @ 1.90GHz,5033
Intel Core i7-3610QE @ 2.30GHz,5026
Intel Core i5-4570S @ 2.90GHz,5018
Intel Xeon E3-1235L v5 @ 2.00GHz,5013
Intel Xeon X5672 @ 3.20GHz,4996
Intel Core i3-7350K @ 4.20GHz,4967
Intel Xeon E5-1607 v3 @ 3.10GHz,4955
Intel Core i5-3570K @ 3.40GHz,4955
Intel Core i5-3570 @ 3.40GHz,4934
Intel Core i7-3612QE @ 2.10GHz,4929
Intel Xeon E5-1410 @ 2.80GHz,4922
Intel Xeon D-1520 @ 2.20GHz,4917
Intel Core i3-1005G1 @ 1.20GHz,4912
Intel Core i7-10510Y @ 1.20GHz,4905
Intel Core i5-4460 @ 3.20GHz,4889
Intel Xeon Bronze 3204 @ 1.90GHz,4886
Intel Core i7-4770TE @ 2.30GHz,4877
AMD FX-8140 Eight-Core,4860
Intel Core i3-7320 @ 4.10GHz,4844
Intel Core i5-7442EQ @ 2.10GHz,4834
Intel Core i5-3550 @ 3.30GHz,4805
Intel Core i5-6500T @ 2.50GHz,4791
Intel Core i3-9100TE @ 2.20GHz,4791
Intel Core i7-3635QM @ 2.40GHz,4790
Intel Core i5-4440 @ 3.10GHz,4788
Intel Core i5-6500TE @ 2.30GHz,4772
Intel Core i7-2960XM @ 2.70GHz,4754
AMD Opteron 6220,4753
Intel Xeon E3-1225 V2 @ 3.20GHz,4746
Intel Core i5-4470S @ 3.00GHz,4742
AMD Athlon Gold 7220U,4740
Intel Xeon E5-1603 v4 @ 2.80GHz,4736
Intel Core i7-3632QM @ 2.20GHz,4709
Intel Atom C3858 @ 2.00GHz,4707
Intel Core i5-7400T @ 2.40GHz,4702
Intel Core i5-6300HQ @ 2.30GHz,4697
Intel Xeon E5-2603 v4 @ 1.70GHz,4695
Intel Core i5-3470 @ 3.20GHz,4678
Intel Xeon E3-1220 V2 @ 3.10GHz,4678
AMD Opteron 4284,4665
Intel Core i5-4430 @ 3.00GHz,4661
Intel Xeon X5667 @ 3.07GHz,4659
Intel Core i7-3612QM @ 2.10GHz,4654
Intel Xeon L5640 @ 2.27GHz,4645
AMD Ryzen Embedded V1500B,4633
AMD Athlon Silver PRO 3125GE,4633
Intel Core i7-2600S @ 2.80GHz,4633
Intel Core i7-6970HQ @ 2.80GHz,4632
Intel Core i5-3570S @ 3.10GHz,4630
AMD FX-8120 Eight-Core,4629
Intel Atom C3758 @ 2.20GHz,4614
Intel Core i5-4690T @ 2.50GHz,4608
AMD FX-6350 Six-Core,4589
Intel Core i5-4460S @ 2.90GHz,4583
Intel Core i5-4570R @ 2.70GHz,4565
Intel Xeon D-1518 @ 2.20GHz,4562
Intel Celeron G6900,4551
AMD Athlon Silver 3050GE,4545
Intel Core i3-7300 @ 4.00GHz,4529
AMD Athlon 240GE,4527
Intel Core i7-2860QM @ 2.50GHz,4523
AMD Opteron 4280,4504
Intel Core i5-3450 @ 3.10GHz,4502
Intel Core i5-6442EQ @ 1.90GHz,4487
Intel Pentium Gold G6605 @ 4.30GHz,4486
AMD Athlon 3000G,4484
Intel Core i3-1115GRE @ 3.00GHz,4484
Intel Core i5-10210Y @ 1.00GHz,4475
Intel Core i3-6320 @ 3.90GHz,4473
Intel Xeon X5647 @ 2.93GHz,4441
Intel Core i5-4670T @ 2.30GHz,4441
Intel Xeon Bronze 3104 @ 1.70GHz,4437
AMD FX-6330 Six-Core,4433
AMD Athlon 220GE,4432
Intel Core i3-7101E @ 3.90GHz,4430
Intel Xeon E5-2609 v3 @ 1.90GHz,4430
Intel Xeon E5-1603 v3 @ 2.80GHz,4427
Intel Pentium 6805 @ 1.10GHz,4424
Intel Core i5-3550S @ 3.00GHz,4422
Intel Xeon L5639 @ 2.13GHz,4419
AMD Athlon 320GE,4399
Intel Core i5-3470S @ 2.90GHz,4392
Intel Core i7-2760QM @ 2.40GHz,4392
Intel Core i3-8121U @ 2.20GHz,4391
Intel Core i7-2820QM @ 2.30GHz,4379
Intel Core i5-4440S @ 2.80GHz,4378
Intel Core i5-3450S @ 2.80GHz,4375
Intel Pentium Gold G6505 @ 4.20GHz,4371
AMD FX-6130 Six-Core,4353
Intel Celeron J6413 @ 1.80GHz,4349
Intel Core i5-4430S @ 2.70GHz,4347
Intel Core i3-6300 @ 3.80GHz,4329
Intel Core i3-7100 @ 3.90GHz,4324
Intel Core i3-8100H @ 3.00GHz,4310
AMD Athlon PRO 300GE,4308
Intel Core i5-3350P @ 3.10GHz,4293
Intel Core i7-2920XM @ 2.50GHz,4286
Intel Core i5-6400T @ 2.20GHz,4279
Intel Core i5-3475S @ 2.90GHz,4277
Intel Pentium Gold G6600 @ 4.20GHz,4273
AMD Athlon 300GE,4273
Intel Pentium Gold G5620 @ 4.00GHz,4272
Intel Core i3-8109U @ 3.00GHz,4266
Intel Core i5-6350HQ @ 2.30GHz,4255
Intel Pentium Gold G6405 @ 4.10GHz,4244
Intel Core i3-1110G4 @ 1.80GHz,4236
Intel Core i3-8140U @ 2.10GHz,4227
Intel Core i5-3340 @ 3.10GHz,4227
AMD FX-6300 Six-Core,4211
Intel Core i3-7300T @ 3.50GHz,4211
Intel Core i5-2450P @ 3.20GHz,4203
Intel Atom x7433RE,4194
Intel Xeon E5-1607 v2 @ 3.00GHz,4173
Intel Pentium Gold G6500 @ 4.10GHz,4140
Intel Core i3-6100 @ 3.70GHz,4136
AMD Ryzen Embedded R1606G,4135
AMD Opteron 3380,4134
Intel Core i5-2550K @ 3.40GHz,4134
Intel Pentium Gold G5600F @ 3.90GHz,4124
Intel Pentium Gold G6400 @ 4.00GHz,4124
Intel Core i5-2500K @ 3.30GHz,4122
AMD Athlon 200GE,4115
Intel Core i5-2500 @ 3.30GHz,4112
Intel Celeron N5095A @ 2.00GHz,4111
Intel Pentium J6426 @ 2.00GHz,4108
AMD Opteron 3365,4105
Intel Core i3-8145UE @ 2.20GHz,4099
Intel Core i5-3330 @ 3.00GHz,4098
AMD FX-6200 Six-Core,4085
Intel Core i7-7567U @ 3.50GHz,4082
AMD Athlon PRO 300U,4080
Intel Core i7-7660U @ 2.50GHz,4080
Intel Celeron N5095 @ 2.00GHz,4079
Intel Xeon E3-1260L @ 2.40GHz,4073
AMD Opteron 6234,4072
Intel Core i5-4590T @ 2.00GHz,4068
AMD Ryzen 3 PRO 2100GE,4062
AMD FX-8100 Eight-Core,4055
Intel Celeron N5105 @ 2.00GHz,4053
Intel Core i7-2710QE @ 2.10GHz,4044
Intel Core i3-6098P @ 3.60GHz,4017
AMD Opteron 6212,4007
Intel Core i7-2720QM @ 2.20GHz,4004
Intel Celeron G6900T,4003
Intel Core i3-6300T @ 3.30GHz,4002
AMD Athlon Gold 3150U,3989
Intel Core i5-7260U @ 2.20GHz,3976
Intel Core i5-4470 @ 3.30GHz,3971
Intel Core i5-3570T @ 2.30GHz,3962
Intel Core i3-7101TE @ 3.40GHz,3957
AMD Opteron 4334,3949
Intel Core i5-3340S @ 2.80GHz,3942
AMD A9-9820,3938
Intel Atom C3958 @ 2.00GHz,3929
Intel Core i7-985 @ 3.47GHz,3928
AMD Opteron 4332 HE,3911
Intel Pentium Gold G6400E @ 3.80GHz,3908
Intel Xeon E3-1225 @ 3.10GHz,3905
Intel Atom x6413E @ 1.50GHz,3903
AMD FX-6120 Six-Core,3899
Intel Core i3-10110U @ 2.10GHz,3897
Intel Core i5-3330S @ 2.70GHz,3887
